label,text
ham,У НЕДІЛЮ У МЕНЕ ПОБАЧЕННЯ З ВІЛЛОМ!!
spam,"XXXMobileMovieClub: Щоб використати свій кредит, натисніть посилання WAP у наступному текстовому повідомленні або натисніть тут>> http://wap.xxxmobilemovieclub.com?n=QJKGIGHJJGCBL"
ham,Ой... я тут дивлюся :)
ham,"Ем, ти пам'ятаєш, як пишеться його ім'я... Так, пам'ятав. Він такий неслухняний, поки не намокне."
ham,"Добре, якщо ти так відчуваєш. Так воно і має бути."
spam,"Англія проти Македонії — не пропустіть голи/новини команди. Надішліть SMS-повідомлення про вашу національну команду на номер 87077, наприклад, АНГЛІЯ на номер 87077. Спробуйте: УЕЛЬС, ШОТЛАНДІЯ 4txt/ú1.20 POBOXox36504W45WQ 16+"
ham,Ти серйозно так пишеш його ім'я?
ham,"Я спробую 2 місяці, ха-ха, жартую."
ham,Тож спочатку заплати... А коли ж з'являться акції...
ham,"Після того, як я закінчу обід, я йду вниз, лол. І три речі, лол. Ти вже закінчив обід?"
ham,"Твою ж мабуть. Гаразд, я ніяк не можу зустрітися з тобою раніше?"
ham,"Щойно змусив себе з'їсти шматочок. Хоча я справді не голодний. Це жахливо. Марк починає хвилюватися. Він знає, що мені погано, коли я відмовляюся від піци. Лол."
ham,"Лол, ти завжди такий переконливий."
ham,Ти встиг на автобус? Ти смажиш яєчню? Ти заварив чай? Ти їси мамині залишки за вечерею? Ти відчуваєш мою любов?
ham,"Я повернувся, і ми зараз пакуємо машину, я дам тобі знати, чи буде місце."
ham,Ааа. Робота. Я смутно це пам'ятаю! Яке це відчуття? Лол.
ham,"Зачекай, це все ще не зовсім зрозуміло, ти не впевнений, що я саркастичний, чи що саме тому X не хоче жити з нами?"
ham,"Так, він прийшов о 2-й і дуже вибачався. Ми посварилися, а вона поводилася як розпещена дитина, і він цим захопився. До 2-ї! Але ми туди не підемо! Непогано виходить, дякую. А ти?"
ham,"К., розкажи мені щось про себе."
ham,"Боїшся знепритомніти від усієї тієї хатньої роботи, яку ти щойно зробив? Швиденько випий чаю."
spam,"Дякуємо за вашу підписку на Ringtone UK, з вашого мобільного зв'язку стягуватиметься 5 гривень стерлінгів на місяць. Будь ласка, підтвердіть, відповівши «ТАК» або «НІ». Якщо ви відповісте «НІ», плата з вас стягуватися не буде."
ham,"Так... Добре, я піду додому, подивлюся на розклад, а потім знову напишу ""У""... Сюйхуей теж вчитиметься 2 травня, але її урок о 8 ранку."
ham,"Ой, я тобі дам знати, коли мій сусід по кімнаті закінчить."
ham,Я бачу літеру B на своїй машині
ham,Що завгодно... Тобі вирішувати...
ham,"Привіт! Як справи і як пройшла субота? Я просто писав, щоб дізнатися, чи вирішив ти щось зробити з тобою. Не те щоб я намагався запросити себе чи щось таке!"
ham,"Будь ласка, продовжуйте з ватами. Я просто хотів переконатися. Гарних вихідних. Абіола."
ham,"Я забув тобі сказати? Я хочу тебе, я потребую тебе, я прагну тебе... Але найбільше... я люблю тебе, мій милий арабський конику... Ммммм... Смакота."
spam,"07732584351 - Роджер Бернс - MSG = Ми намагалися зателефонувати вам щодо вашої відповіді на наше SMS-повідомлення про безкоштовний мобільний телефон Nokia + безкоштовну відеокамеру. Будь ласка, зателефонуйте зараз за номером 08000930705 для доставки завтра."
ham,З КИМ ТИ БАЧИШСЯ?
ham,"Чудово! Сподіваюся, тобі подобається твій чоловік, добре обдарований. Я <#> дюймів..."
ham,Немає дзвінків..повідомлень..пропущених дзвінків
ham,Хіба ви не отримали щеплення від гепатиту В у Нігерії?
ham,"Зрозуміло, щось відбувається?"
ham,"Так, сподіваюся, якщо Тайлер не зможе цього зробити, я міг би трохи розпитати."
ham,"Ти не знаєш, який я впертий. Я навіть не хотів йти до лікарні. Я весь час казав Марку, що я не слабак. Лікарні для слабаків."
ham,Що ти про мене думав. Коли ти вперше побачив мене в класі.
ham,"Грам зазвичай звучить як <#>, хоча пів восьмої розумнішої є і дає вам майже цілий другий грам для <#>"
ham,"До речі, завтра вранці у нього є поїздка, але сьогодні ввечері він застрягне у нас."
ham,"Ого. Я ніколи не усвідомлював, що тобі так ніяково через твоє житло. Я думав, тобі подобається, бо я робив усе, що міг, а ти завжди здався таким щасливим через ""печеру"". Мені шкода, що я не зробив цього і не можу більше дати. Мені шкода, що я пропонував. Мені шкода, що твоя кімната була такою ніяковою."
spam,SMS. ac Sptv: «Нью-Джерсі Девілз» та «Детройт Ред Вінгз» грають у хокей. Правильно чи неправильно? Кінець? Відповісти КІНЕЦЬ SPTV
ham,"Чи знаєте ви, що Малліка Шерават зробила вчора? Дізнайтеся зараз за адресою <URL>"
spam,"Вітаємо! Спеціальний річний абонемент у кіно для двох ваш. Телефонуйте за номером 09061209465 зараз! C Супермен V, Матриця 3, Зоряні війни 3 тощо – всі 4 БЕЗКОШТОВНО! bx420-ip4-5we. 15:50. Не пропустіть!"
ham,"Вибачте, я зателефоную пізніше під час зустрічі."
ham,"Розкажи, куди ти дістався"
ham,Так... Гауті та Сехваг із серії Оді.
ham,Тобі доведеться купити собі бургер за долар дорогою додому. Я навіть поворухнутися не можу. Біль мене вбиває.
ham,"Ха-ха-ха, гарний жарт. Дівчата шукають ситуації."
ham,Це частина перевірки IQ
ham,"Вибачте, мої сусіди по кімнаті зайняли цілу вічність, можна мені прийти зараз?"
ham,"Добре, я вже перевірила з перукарем, він сказав, що я підстриглася дуже коротко. Він сказав, що стригтиметься, поки я не виглядатиму добре."
spam,"Як шановний клієнт, я радий повідомити Вам, що після нещодавньої перевірки Вашого номера мобільного телефону Ви отримуєте бонус у розмірі 1500 гривень стерлінгів. Телефонуйте за номером 09066364589."
ham,"Сьогодні ""день, присвячений пісні"". Яку пісню ти присвятиш мені? Надішли це всім своїм цінним друзям, але спочатку відповідай мені..."
spam,"Терміново, UR отримав безкоштовну поїздку до EuroDisinc Trav, Aco&Entry41 або грн1000. Щоб отримати DIS, надішліть SMS-повідомлення на номер 87121 18+6*грн1.50 (moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ."
spam,"Ви чули про нову ""Барбі-розлучення""? У ній є всі речі Кена!"
ham,Планую віддати в кінці цього місяця.
ham,"Ох, щасливчик... Тоді зможе заощадити гроші... Хі..."
ham,"Закінчив урок, де ти?"
ham,"ПРИВІТ, ЛЮБИЙ, Я ЗАРАЗ ВДОМА, ХОЧЕШ ЧИМСЯ ЗРОБИТИ? XX"
ham,К..к:) де ти? як ти виступив/виступила?
ham,Можете мені зараз зателефонувати...
ham,"Я чекаю, Мачан. Подзвони мені, як тільки звільнишся."
ham,Це круто. Я джентльмен і ставитимуся до вас з гідністю та повагою.
ham,"Ви мені дуже подобаєтесь :) але я дуже сором'язливий, тату."
ham,Не працює після <#> або що
ham,Тут не так. Все ще шукаю роботу. Скільки там заробляють Та?
ham,"Вибачте, я подзвоню пізніше"
ham,"К. Ти щойно мені дзвонив, а?"
ham,"Добре, я їду додому, привіт, привіт"
ham,Ти будеш на місці того чоловіка
ham,"Так, наступна зупинка."
ham,"Я подзвоню тобі пізніше, немає мережі. Якщо терміново, напиши мені."
ham,"Справді, коли ти починаєш? Мені потрібно лише ще 2 квитки та ще один піджак, і я закінчу. Я вже використав усі свої мультилітери."
ham,"Так, я почав надсилати запити, щоб це зробили, але біль повернувся, тому я знову в ліжку. Подвійна плата за монети на заводі. Мені потрібно обналичити всі свої нітрометани."
ham,"Я справді не можу цього зробити сьогодні ввечері, люба."
ham,"Ela kano., il download, come wen ur free.."
ham,"Так, стій! Але не стій близько — щось підхопиш!"
ham,"Вибачте, що надокучаю. Можна зустрінемося якось ввечері? Я провів пізній день у відділенні невідкладної допомоги, а це означає, що я нічого не робив на 42moro, включаючи всі мої табелі обліку робочого часу тощо. Вибачте."
ham,"Посміхнися в задоволенні, посміхнися в болю, посміхнися, коли проблеми ллються, немов дощ, посміхнися, коли тобі боляче. Посміхнися, бо ХТОСЬ все ще любить бачити твою посмішку!!"
spam,"Будь ласка, зателефонуйте нашому представнику служби підтримки клієнтів за номером 0800 169 6031 з 10:00 до 21:00, оскільки ви ВИГРАЛИ гарантований приз у розмірі 1000 гривень стерлінгів готівкою або 5000 гривень стерлінгів!"
ham,"Не планую купувати пізніше. Я вже перевірив, що в Лідо лише 5:30 показують сьогодні вдень. Ти вже закінчив роботу?"
spam,"Ваша безкоштовна мелодія дзвінка чекає на отримання. Просто надішліть пароль ""MIX"" на номер 85069 для підтвердження. Замовте Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16."
ham,Дивлюся фільм на телугу... а ти як?
ham,"Розумію. Коли ми закінчимо, нам доведеться сплатити купу позик."
ham,"Привіт. Тиждень пройшов добре - зараз у відпустці! Так, трохи пробіжаюся. Забула, що в мене зустріч з перукарем о четвертій, тому треба повернутися додому та прийняти душ заздалегідь. Це тобі може завадити?"
ham,Я бачу анімацію чашки кави
ham,"Будь ласка, більше не пиши мені. Мені більше нічого сказати."
ham,"Добре, називай ціну, аби це було законно! Коли я можу їх забрати? У тебе є x ams xx"
ham,Я все ще шукаю машину для покупки. І ще не склав іспит на водіння.
ham,"Згідно з вашим запитом, мелодію виклику для всіх абонентів встановлено «Melle Melle (Oru Minnaminunginte Nurungu Vettam)». Натисніть *9, щоб скопіювати мелодію виклику вашого друга."
ham,"Ого. Ти маєш рацію! Я не хотів цього робити. Мабуть, щось змінилося, коли я перестав шукати чоловіків з Бостона та змінив місце пошуку на Нью-Йорк. Бо на моїй сторінці входу все ще вказано Бостон."
ham,"Умма, моє життя, і вава, умма, дуже тебе люблю, люба."
ham,"Щиро дякую за ваші побажання з нагоди мого дня народження. Дякую, що зробили мій день народження справді незабутнім."
ham,"Гаразд, я зв'яжуся з тобою, коли отримаю трохи грошей."
ham,"Як моя IP-адреса може це перевірити, враховуючи, що мій комп'ютер не є сервером Minecraft?"
ham,"Я знаю! Сварливі старі люди. Моя мама була така, що краще не брехати. З іншого боку, я завжди жартую..."
ham,"Не хвилюйся. Гадаю, він зайнятий."
ham,Яка форма множини іменника дослідження?
ham,Йду вечеряти. Напишу тобі після.
ham,"Мені з цим добре, бо я люблю пробувати щось нове. Але я тебе налякав, що мама мені не подобається. Бо ти сказав не надто голосно."
spam,ДЖЕНТ! Ми намагаємося зв'язатися з вами. У розіграші минулих вихідних ви ГАРАНтовано виграли приз у розмірі 1000 гривень стерлінгів. Зателефонуйте за номером 09064012160. Отримайте код K52. Дійсний лише 12 годин. 150 стор./хв.
ham,"Вау, твоє перше речення дуже формальне... У будь-якому разі, в мене теж все добре, просто я забагато їм і набираю вагу... Ха-ха... Тож щось особливе сталося?"
ham,"Коли я зайшов у свою каюту, моя особиста асистентка сказала: «З днем ​​народження, босе!!». Я відчув себе особливим. Вона запросила мене на обід. Після обіду запросила мене до себе в квартиру. Ми туди пішли."
spam,Ви переможець. Вас спеціально відібрали. 2. Отримайте 1000 гривень стерлінгів або 4* відпустку (включно з перельотами). 2. Подайте заявку. 0871277810910 копійок/хв (18+).
ham,"Гуду! Так, нам треба поговорити в п'ятницю - потрібне співвідношення яєць і картоплі для тортильї!"
ham,"Хм... мій дядько щойно повідомив мені, що він платить безпосередньо школі. Тож, будь ласка, купи їжу."
spam,"ПРИВАТНО! Ваша виписка з рахунку за 2004 рік за номером 07742676969 показує 786 невикористаних бонусних балів. Щоб отримати їх, зателефонуйте за номером 08719180248. Ідентифікаційний код: 45239. Термін дії закінчується."
spam,"ТЕРМІНОВО! Ваш мобільний номер отримав бонусний приз у розмірі 2000 гривень стерлінгів 09.05.2003. Це наша остання спроба зв'язатися з вами! Дзвінок зі стаціонарного телефону 09064019788 BOX42WR29C, 150 дзвінків за хвилину."
ham,"ось моя нова адреса - яблука, пари та вся ця нісенітниця"
spam,"Сьогоднішні номери Voda, що закінчуються на 7548, обрані для отримання винагороди у розмірі 350 доларів. Якщо у вас є збіг, зателефонуйте за номером 08712300220, назвавши код заявки 4041 у додатку зі стандартними тарифами."
ham,Я сьогодні йду на сао му. Закінчу лише о 12-й.
ham,"О передбачити, коли я закінчу купувати?"
ham,"Гарна річ, підійде."
ham,"Просто щоб ти знав, Тунде ще не надіслала грошей. Я щойно надіслав їй повідомлення, щоб вона не турбувалася про це. Тож все скінчено, тобі не потрібно ні в що втручатися. Мені не слід було нічого тобі нав'язувати, тому за це я вибачаюся."
ham,"Ви там, у кімнаті?"
ham,"ГЕЙ, ДІВЧИНКО. ЯК ТВОЇ СПРАВЖНІ УСІ ЩОСЬ ДОБРЕ. ЗНОВУ ТЕБЕ НЕ БУЛО! ДАВНО НЕ БУЛО! ПОДЗВОНИ МЕНІ ЧАС ВІД ЛЮСІ"
ham,К..к:)скільки це коштує?
ham,Я вдома.
ham,"Любий/люба, зателефоную завтра. Будь ласка, розмістю."
ham,Спочатку дайте відповідь на моє запитання.
spam,"Щотижнева вікторина «Сонячне світло»! Виграйте найкращий DVD-програвач Sony, якщо знаєте, в якій країні знаходиться Алгарве? Надішліть відповідь на номер 82277. грн1.50 SP: Тайрон"
spam,"Хочете переспати вдвох сьогодні ввечері? Хочете, щоб справжні місця для сексу з партнером надсилалися безпосередньо вашій групі? Приєднуйтесь до найбільшої мережі сексу з партнером у Великій Британії, надсилаючи SMS-повідомлення GRAVEL на номер 69888! Nt. ec2a. 31p.msg@150p"
ham,У мене є тільки msn. Це yijue@hotmail.com.
ham,Він там. Ти дзвониш і зустрічаєшся з ним.
ham,"Ні, ні. Я перевірю всі кімнати перед заходами."
spam,"Ви більше не отримуватимете повідомлення з чату. Щоб отримати БЕЗКОШТОВНІ хардкорні послуги, надішліть SMS-повідомлення GO на номер: 69988. Якщо нічого не отримаєте, перевірте вік у своєму операторі зв'язку та спробуйте ще раз."
ham,"Зрозумів... Мені ліньки друкувати... Я забув ü у викладі... Я бачив сумку, але вона не дуже гарна..."
ham,"К, напиши мені, коли будеш у дорозі."
ham,"Пане, чекаю на вашу пошту."
ham,Світла думка: «Ніколи не втомлюся робити дрібниці для милих людей...» Бо... іноді ці дрібниці займають найбільше місце в їхніх серцях... Боже мій!
ham,"Я знаю, що ти такий. Чи не міг би ти, будь ласка, відкрити задню частину?"
ham,"Так, побачимося, не одразу."
ham,"Як звати того співробітника, який проводить у нас заняття?"
spam,"Безкоштовне повідомлення Чому ви не відповіли на моє повідомлення? Я Ренді, сексуальна, жіночна і живу тут. З любов'ю чекаю на вас. Netcollex Ltd 08700621170150 копійок за повідомлення відповісти Зупинити, щоб завершити"
ham,"Умма, зателефоную після реєстрації. Наше життя почнеться з Катару, тому, будь ласка, дуже старанно моліться."
ham,"К..я видалив свій контакт, то чому?"
ham,Сінду отримав роботу в Бірла Софт..
ham,"Вино ллється рікою, а я ніколи..."
ham,"Так, я думаю, що кіно краще, бо не потрібно йти вниз, на площу 2."
ham,Гаразд... Типова відповідь...
ham,"Згідно з вашим запитом, мелодію виклику для всіх абонентів встановлено «Melle Melle (Oru Minnaminunginte Nurungu Vettam)». Натисніть *9, щоб скопіювати мелодію виклику вашого друга."
ham,"Ти скрізь у бруді, на підлозі, вікнах, навіть на моїй сорочці. А іноді, коли я відкриваю рот, ти — це все, що витікає звідти. Я мрію про свій світ без тебе, і тоді половина моїх справ також зникає. Час радості для мене, багато телешоу я подивлюся. Але, гадаю, як і все, ти просто маєш існувати, як дощ, град і туман, і коли мій час тут закінчиться, ми з тобою станемо одним цілим."
ham,"Аааааак, ти на роботі?"
ham,Я зараз виходжу з дому...
ham,"Привіт, коханий/кохана. Що ти робиш? Ти сьогодні був/була на тій співбесіді? Ти щасливий/щаслива? Ти хороший хлопчик? Ти думаєш про мене? Ти сумуєш за мною?"
spam,"Оголошення служби підтримки клієнтів. На вас чекає новорічна доставка. Будь ласка, зателефонуйте за номером 07046744435 зараз, щоб домовитися про доставку."
spam,Ви переможець. Вас спеціально відібрали. 2. Отримайте 1000 гривень стерлінгів готівкою або 4* відпустку (включно з авіаквитками). 3. Подайте заявку за телефоном 0871277810810.
ham,"Бережи себе для мене, бо ти мені потрібна, і я вже сумую за тобою, і я заздрю ​​всім, хто бачить тебе в реальному житті."
ham,Нова машина та будинок для моїх батьків. :) У мене лише нова робота на підмозі :)
ham,"Я так закоханий у тебе. Я радий кожному дню, проведеному з тобою. Ти робиш мене таким щасливим."
spam,"-БУДЬ ЛАСКА, ПРИПИНИСЬ bootydelious (32/Ж) запрошує тебе стати її другом. Дай відповідь ТАК-434 або НІ-434. Зустрінься з нею: www.SMS.ac/u/bootydelious СТОП? Надішліть STOP FRND на номер 62468."
spam,"BangBabes, твоє замовлення вже в дорозі. Ти ПОВИННА отримати сервісне повідомлення для завантаження свого контенту. Якщо ні, перейди на wap.bangb.tv у меню мобільного інтернету/послуг."
ham,Я вже розмістив усі твої бали на модулі електронних культур.
spam,ТЕРМІНОВО! Ми намагаємося зв'язатися з вами. За результатами розіграшу минулих вихідних ви ГАРАНтовано виграли приз у розмірі 900 гривень стерлінгів. Зателефонуйте за номером 09061701939. Отримайте код S89. Дійсний лише 12 годин.
ham,"Привіт, друже, як найкраще уникнути непорозумінь з нашими коханими?"
ham,"Чудова втеча. Мені подобається міст, але мені потрібне її лагер. Побачимося там."
ham,Так :) це зовсім не у формі:) Кларк також повна нісенітниця.
ham,"Пане, мені потрібен номер рахунку в AXIS BANK та адреса банку."
ham,"Хммм... Дякую, що в мене є час пострибати... Так, можу поїхати приблизно на 4 безкоштовні... Можу подзвонити тобі, щоб обговорити зв'язок..."
ham,О котрій годині ти пізніше спустишся?
ham,"Чорт забирай, не можу повірити, що ти забув моє прізвище, пане. Я тобі підкажу, воно іспанське і починається на ""м..."""
ham,"Ну, я зараз закінчу приймати ванну. Гарної... гарної ночі."
ham,"Дай мені знати, коли отримаєш гроші, щоб Карлос міг зателефонувати."
ham,Ти все ще ходиш до торгового центру?
ham,"Виявляється, мої друзі залишаться на весь виступ і не повернуться до ~<#>, тож сміливо йдіть і куріть ці $<#>"
ham,"Напиши їй. Якщо вона не відповість, дай мені знати, щоб вона могла увійти."
ham,"Привіт! Ви щойно розмовляли з МАНІШОЮ В. Ми хотіли б знати, чи ви задоволені нашим досвідом. Дайте відповідь на безкоштовний номер, скориставшись відповіддю «Так» або «Ні»."
ham,"Ви вселили в мене надію, пропонуючи гроші. Я їх потребую. Особливо, коли наближається кінець місяця, і це заважає моєму навчанню. У будь-якому разі, гарних вихідних."
ham,"Лол, ні. Ти можеш мені довіряти."
ham,Гаразд. Я джентльмен і ставитимуся до вас з гідністю та повагою.
ham,"Він буде, ви, хлопці, закриєте?"
ham,Нічого особливого. Бувай.
ham,"Привіт, красуне! Ти шукаєш ту роботу? Не лінуєшся? Працюєш над тим, щоб повернути ту сітку для матусі? Де зараз мій хлопчик? Він сумує за мною?"
ham,"Ха-ха, круто, буду там за хвилинку."
spam,"Будь ласка, зателефонуйте нашому представнику служби підтримки клієнтів за БЕЗКОШТОВНИМ НОМЕРОМ 0808 145 4742 з 9:00 до 23:00, оскільки ви ВИГРАЛИ гарантований приз у розмірі 1000 гривень стерлінгів готівкою або 5000 гривень стерлінгів!"
ham,"У вас є розклад різдвяних радіопередач? Якщо ні, я зараз його дізнаюся."
ham,"Я щойно дістався додому. Спочатку я піду помитися. Але моя сестра через інтернет каже тобі, коли закінчить..."
spam,Чи достатньо ви унікальні? Дізнайтеся з 30 серпня. www.areyouunique.co.uk
ham,"Вибач. Я належу до тих людей, які не підтримують зв'язок. Ти дуже багато для мене значиш. Ти завжди був другом, навіть за великі особисті витрати. Гарного тобі тижня."
ham,Привіт :) нарешті я закінчив курс :)
ham,"Це зупиниться саме по собі. Однак я пропоную їй залишитися з кимось, хто зможе давати оральні резерви за кожен стілець."
ham,"Як справи? Сподіваюся, ти вже влаштувався/влаштувалася на новий навчальний рік. Просто бажаю тобі чудового дня."
ham,"Щиро шановна, гарного дня тобі"
ham,Ви зрозуміли історію цієї людини?
ham,"Твій хом'як здох? Привіт, тож час чекати, зустрінемося о 13:00 в Orchard MRT?"
ham,"Привіт, це Кейт, як твій вечір? Сподіваюся, я зможу побачити тебе завтра ненадовго, але мені треба попрацювати! Напиши мені, якщо зможеш. :) xxx"
ham,"Знайшов, ENC <#>, де ти зараз?"
ham,Я тобі надіслав <$> доларів
ham,"Привіт, люба, я закінчила коледж, тож напиши мені, коли закінчиш, чи зможеш ти кохати Кейт xxx"
ham,Ваш рахунок успішно поповнено на суму <DECIMAL> INR. Баланс вашого передплаченого рахунку KeralaCircle становить <DECIMAL> Rs. Ідентифікатор вашої транзакції – KR <#>.
ham,"Доброго ранку, спиш."
ham,"Ти називаєш мене альтером об 11, гаразд."
ham,"Я кажу, що доки не куплю Ericsson, тому не можу нічого змінити..."
ham,"Коли я зайшов у свою каюту, моя особиста асистентка сказала: «З днем ​​народження, босе!!». Я відчув себе особливим. Вона запросила мене на обід. Після обіду запросила мене до себе в квартиру. Ми туди пішли."
ham,"Гаразд, чувак, це ж прямий пес."
ham,"Будь ласка, зв'яжіться з нами сьогодні до <DECIMAL> або поверніть кошти за рахунок"
ham,"Обидва :) я стріляю великими вантажами, тож готуйтеся!"
ham,"Як справи, друже, сподіваюся, у тебе були гарні канікули. Бажаю тобі насиченого семестру."
ham,"Вдома, щоб ми завжди могли спілкуватися"
ham,К:)к:)добре:)добре вчишся.
ham,Так... Як ти знаєш...
ham,Звучить чудово! Ти вже вдома?
ham,"Зрештою, матч прямує до нічиєї, як ви прогнозуєте."
ham,Втомився. Я погано спав останні кілька ночей.
ham,"Легко, а?сена вибрали, значить це добре.."
ham,Мені потрібно складати іспит 3 березня.
ham,"Так, тобі варто. Гадаю, ти вже можеш зареєструватися через свій банкомат GT. Не впевнений, але якщо є можливість, я можу допомогти, дай мені знати. Але коли зареєструєшся, переконайся, що ти готовий."
ham,"Добре, без проблем. Не поспішайте."
ham,"Існує операційна система під назвою ubandu, яка працює без встановлення на жорсткий диск... ви можете використовувати цю ОС, щоб скопіювати важливі файли в систему та віддати їх до ремонтної майстерні."
ham,"Вибачте, я подзвоню пізніше"
ham,"Ти кажеш, що нічого не сталося, лор. Не кажу, що це романтично, просто трохи, лор. Я думаю, що нічний пейзаж не такий гарний, лох."
spam,"500 нових мобільних телефонів 2004 року, ОБОВ'ЯЗКОВО! Надішліть SMS-повідомлення: NOKIA на номер 89545 та заберіть свій сьогодні! ВІД ЛИШЕ 1 гривняа стерлінгів www.4-tc.biz 2optout 087187262701.50 гривень стерлінгів/mtmsg18"
ham,"Буду дуже вдячний, якщо ви мені зателефонуєте. Мені просто потрібно з кимось поговорити."
spam,"Чи скоро ти зустрінеш партнера своєї мрії? Чи твоя кар'єра розпочалася стрімко? Дізнайся безкоштовно, надішли HORO, а потім свій знак зодіаку, наприклад, HORO ОВЕН."
ham,Hey company elama po mudyadhu.
ham,"Життя суворіше за вчителя... Бо вчитель спочатку проводить урок, а потім проводить іспити, але життя спочатку проводить іспити, а потім дає уроки. Доброго ранку..."
ham,"Любий, доброго ранку, тільки я встав"
ham,Спустіться в Гандіпурамі та пройдіть до перехрестя. З’їжджайте на праву сторону вулиці <#> та поверніть на першому повороті праворуч.
ham,"Любий, ми йдемо до нашого гумового закладу."
ham,"Вибачте, батарейка розрядилася, так, я тут."
ham,Так :) тут телевізор завжди доступний на робочому місці..
spam,"Напиши повідомлення та зустрінь когось сексуального сьогодні. Ти можеш знайти пару або навіть пофліртувати – це залежить від тебе. Приєднуйся до 4 всього за 10 копійок. ВІДПОВІДЬ, вказавши ІМ'Я ТА ВІК, наприклад, Сем 25. 18 – повідомлення надіслано на адресу retard@thirtyeightpence."
ham,"Я це роздрукував, о. Тож <#> піднімайтеся нагору"
ham,"Або буду трохи ближче, як-от на автобусній зупинці на тій самій вулиці"
ham,Де ти? Коли ти сюди доберешся?
ham,"Нова теорія: Суперечка виграє СИТУАЦІЮ, але програє ЛЮДИНІ. Тож не сперечайтеся з друзями, просто... стукніть їх і кажіть: «Я завжди правий!»"
spam,"У тебе є таємний шанувальник, який шукає тебе, щоб зв'язатися з тобою — дізнайся, хто вони? Розкрий, хто вважає тебе такою особливою — зателефонуй за номером 09058094597"
ham,"У Томарроу відбудеться останнє слухання у справі мого ноутбука, тому я не можу."
ham,"БУДЬ ЛАСКААААААААА, ТЕЛЕФОНУЙТЕ МЕНІ, ЩО ЗАВЕРШИЛО СПОРТ"
ham,"Гаразд. Ні, ні, просто блищу. Це мало бути автографом, але так звучить краще."
ham,"Хоча я тобі казала, що зараз мені подобаються годинники з великими циферблатами, але мені дуже подобається той годинник, який ти подарувала, бо він від тебе. Дякую за все, що ти сьогодні зробила, я зворушена..."
ham,Ти не пам'ятаєш ту стару рекламу?
ham,"Занадто пізно. Я сказав, що в мене є вебсайт. У мене ж немає капців, чи вони мені не потрібні."
ham,"Я ж просив тебе зателефонувати йому зараз, добре."
ham,Калліс не б’є битою у 2-му інінгу.
ham,"Знову не спрацювало, о. Гаразд, тоді на добраніч. Я полагоджу і буду готовий до того часу, як ти прокинешся. Дуже за тобою сумую, гарного сну."
spam,Вітаємо! Ви отримали 500 ваучерів на компакт-диски або 125 подарунків. Вхід безкоштовний. 2 щотижневих розіграші по 100. Надішліть SMS з текстом MUSIC на номер 87066 TnCs www.Ldew.com1win150ppmx3age16
ham,Ранджит кал дрпд Дірадж та Діпак 5 хв утримувати
ham,"Коли твоя мила людина дуже злиться на тебе, не сприймай це серйозно... Бо злитися - це найдитячіший і найщиріший спосіб виявити глибоку прихильність, турботу та любов!.. Тобі дуже приємно... Гарного дня."
